"offense","range"
"DUI (First Offense)","$500 - $2,500"
"Domestic Violence","$2,500 - $10,000"
"Drug Possession","$1,000 - $25,000"
"Assault","$5,000 - $25,000"
"Burglary","$10,000 - $50,000"
